participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.trust_choice,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
55,1txc79jq,60da18dba560960ea60a8fe5,0,29,29,Thanks,MyPage,2024-03-20 15:21:23.097283,1,,,50.0,55,,0.0,5,1,1,slvfalvu,,,,,0
56,uql7b8s8,5f467b0a0d1aef037515c8c9,0,29,29,Thanks,MyPage,2024-03-20 15:21:23.249954,1,,,50.0,56,,0.0,2,1,1,slvfalvu,,,,,0
57,ctxuvnus,5ddd2a4459b1b0c7509c7a47,0,16,29,not_completed,MyPage,2024-03-20 15:21:25.760477,1,,,0.0,57,,0.0,,1,1,slvfalvu,,,,,0
58,7tfbyvhj,5c58fdd6fa9e940001080c18,0,29,29,Thanks,MyPage,2024-03-20 15:21:26.388998,1,,,200.0,58,,0.0,3,1,1,slvfalvu,,,,,0
59,bpu9ih4v,5698f2a7b0e165000c0158cd,0,29,29,Thanks,MyPage,2024-03-20 15:21:27.137831,1,,,200.0,59,,0.0,2,1,1,slvfalvu,,,,,0
60,leyulr27,5dbf11701429823ba384bd3c,0,29,29,Thanks,MyPage,2024-03-20 15:21:27.621548,1,,,150.0,60,,0.0,5,1,1,slvfalvu,,,,,0
61,c8rtqr5a,650d9240b7f9fcecaf1f9656,0,5,29,Intro_ST,DemoPage,2024-03-20 15:21:28.236830,1,,,0.0,61,,0.0,,1,1,slvfalvu,,,,,0
62,qxjvwxwc,5dcf6d762e4a050ac2cba07d,0,6,29,Intro_ST,TestPage,2024-03-20 15:21:28.318728,1,,,0.0,62,,0.0,,1,1,slvfalvu,,,,,0
63,m867xxow,5cd6c1197b871a0001b13589,0,29,29,Thanks,MyPage,2024-03-20 15:21:29.192402,1,,,100.0,63,,0.0,2,1,1,slvfalvu,,,,,0
64,n5gzyyay,647621dbfc364c3b8c75f627,0,29,29,Thanks,MyPage,2024-03-20 15:21:30.153736,1,,,200.0,64,,0.0,1,1,1,slvfalvu,,,,,0
65,zgfrunak,5fd67cce91f9895969c0edee,0,29,29,Thanks,MyPage,2024-03-20 15:21:30.735833,1,,,100.0,65,,0.0,3,1,1,slvfalvu,,,,,0
66,obu3b557,594ec90eca6e670001b2c184,0,29,29,Thanks,MyPage,2024-03-20 15:21:30.728941,1,,,100.0,66,,0.0,2,1,1,slvfalvu,,,,,0
67,3tweuy3w,650c4b13c66716e1de2d75cf,0,29,29,Thanks,MyPage,2024-03-20 15:21:30.752258,1,,,200.0,67,,0.0,4,1,1,slvfalvu,,,,,0
68,1g5pv8k9,5f7529755aaa0e1a6e804640,0,29,29,Thanks,MyPage,2024-03-20 15:21:31.602790,1,,,150.0,68,,0.0,4,1,1,slvfalvu,,,,,0
69,zv1cq2n3,5fbb89e20ddd50a66ab62a67,0,29,29,Thanks,MyPage,2024-03-20 15:21:34.472447,1,,,50.0,69,,0.0,2,1,1,slvfalvu,,,,,0
