participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.pid,player.is_coop,player.action,player.partner_action,player.rt,player.is_dropout,player.condition,group.id_in_subsession,group.has_dropout,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
65,7aq7enxq,5df2f36b617219204de98060,0,32,32,Thanks,MyPage,2024-03-20 16:43:05.736758,1,,,150.0,2,,150.0,,1,Invest,Invest,4.994,0,SQ,18,0,1,7reoo3kl,,,,,0
66,oiya3ec5,646ce077bee5dbbd60d98c23,0,32,32,Thanks,MyPage,2024-03-20 16:43:06.271324,1,,,150.0,1,,150.0,,1,Invest,Invest,3.145,0,SQ,16,0,1,7reoo3kl,,,,,0
67,nukwdjn9,5e88dd7a0febe805d3a120b6,0,32,32,Thanks,MyPage,2024-03-20 16:43:08.855987,1,,,50.0,1,,50.0,,1,Invest,Keep,2.341,0,SQ,38,0,1,7reoo3kl,,,,,0
68,hmcsgugg,5cbe04b4f429ff00159de30e,0,32,32,Thanks,MyPage,2024-03-20 16:43:13.494030,1,,,100.0,2,,100.0,,0,Keep,Keep,2.091,0,SQ,27,0,1,7reoo3kl,,,,,0
69,8al3uqov,5c1a9424a329230001ecaabd,0,32,32,Thanks,MyPage,2024-03-20 16:43:13.421216,1,,,150.0,2,,150.0,,1,Invest,Invest,4.558,0,SQ,14,0,1,7reoo3kl,,,,,0
70,akg01n6h,64345edc0fd9813bdd9ef181,0,19,32,not_completed,MyPage,2024-03-20 16:43:19.319984,1,,,0.0,2,,0.0,,,Not yet,Not yet,,0,SQ,39,1,1,7reoo3kl,,,,,0
71,cl0odx4q,5720a9f6fd3a5200113c1891,0,32,32,Thanks,MyPage,2024-03-20 16:43:20.778931,1,,,100.0,1,,100.0,,0,Keep,Keep,2.89,0,SQ,43,0,1,7reoo3kl,,,,,0
72,xvbyin7d,65a955a5b8f4c0e0d1f24e13,0,32,32,Thanks,MyPage,2024-03-20 16:43:21.391626,1,,,150.0,1,,150.0,,1,Invest,Invest,1.663,0,SQ,28,0,1,7reoo3kl,,,,,0
73,ovbvghbd,5c476621b521ee00019abf67,0,32,32,Thanks,MyPage,2024-03-20 16:43:21.474796,1,,,50.0,1,,50.0,,1,Invest,Keep,2.309,0,SQ,29,0,1,7reoo3kl,,,,,0
74,orc5x3rk,5c1e2dc92631ed0001040b23,0,32,32,Thanks,MyPage,2024-03-20 16:43:26.415347,1,,,100.0,1,,100.0,,0,Keep,Keep,2.96,0,SQ,33,0,1,7reoo3kl,,,,,0
75,bmbz7byy,65e8ad6fc0d7e3832cf02159,0,32,32,Thanks,MyPage,2024-03-20 16:43:26.824247,1,,,100.0,1,,100.0,,0,Keep,Keep,1.63,0,SQ,13,0,1,7reoo3kl,,,,,0
76,qwe9ljcy,63614899ad49a91f1ef09067,0,32,32,Thanks,MyPage,2024-03-20 16:43:26.907121,1,,,100.0,1,,100.0,,0,Keep,Keep,3.413,0,SQ,19,0,1,7reoo3kl,,,,,0
77,5006s820,5c748b9188fdc20017c60436,0,32,32,Thanks,MyPage,2024-03-20 16:43:28.408439,1,,,150.0,1,,150.0,,1,Invest,Invest,5.401,0,SQ,22,0,1,7reoo3kl,,,,,0
78,0ma8v2t5,60d13d406f3b34d6791c8831,0,32,32,Thanks,MyPage,2024-03-20 16:43:29.257261,1,,,50.0,1,,50.0,,1,Invest,Keep,2.289,0,SQ,24,0,1,7reoo3kl,,,,,0
79,mky6of2z,65ecbbfd7c441da2b07a6faa,0,32,32,Thanks,MyPage,2024-03-20 16:43:29.502376,1,,,100.0,2,,100.0,,0,Keep,Keep,18.765,0,SQ,33,0,1,7reoo3kl,,,,,0
80,4gmgg0l9,65ea1ff55977102030f4b184,0,32,32,Thanks,MyPage,2024-03-20 16:43:30.840323,1,,,150.0,2,,150.0,,1,Invest,Invest,5.115,0,SQ,28,0,1,7reoo3kl,,,,,0
81,h82cyxca,581e0aee4182b600017307ea,0,32,32,Thanks,MyPage,2024-03-20 16:43:31.282468,1,,,150.0,2,,150.0,,1,Invest,Invest,6.142,0,SQ,35,0,1,7reoo3kl,,,,,0
82,m4kqsv8s,61155a7ed7bb8ba7da579301,0,32,32,Thanks,MyPage,2024-03-20 16:43:34.935030,1,,,50.0,1,,50.0,,1,Invest,Keep,1.052,0,SQ,23,0,1,7reoo3kl,,,,,0
83,hq5x13s8,5dcc3ec7db13278d75c8622f,0,32,32,Thanks,MyPage,2024-03-20 16:43:37.818599,1,,,200.0,2,,200.0,,0,Keep,Invest,4.829,0,SQ,29,0,1,7reoo3kl,,,,,0
84,8q6c8upd,5ed2bb7a67d51b24b2ac4037,0,32,32,Thanks,MyPage,2024-03-20 16:43:39.561339,1,,,200.0,2,,200.0,,0,Keep,Invest,6.548,0,SQ,24,0,1,7reoo3kl,,,,,0
85,xbhx0uwp,63d13cb81a0a88a3ce29e33f,0,32,32,Thanks,MyPage,2024-03-20 16:43:50.013446,1,,,150.0,2,,150.0,,1,Invest,Invest,17.414,0,SQ,16,0,1,7reoo3kl,,,,,0
86,k6pk2mpm,6341a541b6cfd5f8933f48c4,0,32,32,Thanks,MyPage,2024-03-20 16:43:52.052243,1,,,150.0,2,,150.0,,1,Invest,Invest,3.561,0,SQ,41,0,1,7reoo3kl,,,,,0
87,l1cirm40,60fc2ec58ad0da367daee3c1,0,32,32,Thanks,MyPage,2024-03-20 16:43:53.182962,1,,,150.0,1,,150.0,,1,Invest,Invest,2.385,0,SQ,47,0,1,7reoo3kl,,,,,0
88,1d8vby8f,55b688fafdf99b26e287abd3,0,32,32,Thanks,MyPage,2024-03-20 16:43:56.965379,1,,,200.0,2,,200.0,,0,Keep,Invest,2.284,0,SQ,17,0,1,7reoo3kl,,,,,0
89,czz1y2e2,5ba596467c0ebe0001269842,0,32,32,Thanks,MyPage,2024-03-20 16:43:57.699835,1,,,100.0,2,,100.0,,0,Keep,Keep,4.945,0,SQ,19,0,1,7reoo3kl,,,,,0
90,0lhwgz96,611e6704567a73202f78bef7,0,32,32,Thanks,MyPage,2024-03-20 16:43:59.890844,1,,,100.0,1,,100.0,,0,Keep,Keep,10.904,0,SQ,26,0,1,7reoo3kl,,,,,0
91,1ue6z6na,63d193c45e01ccb694993e7f,0,32,32,Thanks,MyPage,2024-03-20 16:44:00.490504,1,,,100.0,1,,100.0,,0,Keep,Keep,2.272,0,SQ,27,0,1,7reoo3kl,,,,,0
92,uxjt2bj3,64a826f6220bf56dca731156,0,20,32,kicked_out,MyPage,2024-03-20 16:44:00.693568,1,,,0.0,1,,0.0,,,Not yet,Not yet,,1,SQ,50,1,1,7reoo3kl,,,,,0
93,hxh55tjl,63d176dbaef5e7827cd86954,0,32,32,Thanks,MyPage,2024-03-20 16:44:01.245779,1,,,150.0,1,,150.0,,1,Invest,Invest,36.62,0,SQ,35,0,1,7reoo3kl,,,,,0
94,qnb00py3,63ea974c81ff0fffe7fb8613,0,32,32,Thanks,MyPage,2024-03-20 16:44:02.877459,1,,,100.0,1,,100.0,,0,Keep,Keep,3.79,0,SQ,42,0,1,7reoo3kl,,,,,0
95,3hr39398,65aafa301d1aa8daf91f5bee,0,32,32,Thanks,MyPage,2024-03-20 16:44:05.492945,1,,,150.0,2,,150.0,,1,Invest,Invest,4.612,0,SQ,40,0,1,7reoo3kl,,,,,0
96,1o3er1zx,650d9893ce518e43bd90407f,0,32,32,Thanks,MyPage,2024-03-20 16:44:06.788673,1,,,100.0,2,,100.0,,0,Keep,Keep,3.975,0,SQ,26,0,1,7reoo3kl,,,,,0
97,5klqmbdk,5e46aa20caec81000b7d4f93,0,32,32,Thanks,MyPage,2024-03-20 16:44:07.817020,1,,,150.0,1,,150.0,,1,Invest,Invest,1.623,0,SQ,30,0,1,7reoo3kl,,,,,0
98,37af0jh0,65aee2cd05a6baf848046a4e,0,6,32,Intro_SQ,TestPage,2024-03-20 16:44:10.834776,1,,,0.0,98,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
99,h0lkuzpj,65b6bb9487ad05cb475fbba5,0,32,32,Thanks,MyPage,2024-03-20 16:44:10.626282,1,,,200.0,2,,200.0,,0,Keep,Invest,4.687,0,SQ,31,0,1,7reoo3kl,,,,,0
100,71ga45wn,5d4af0a71813250015d3c5c7,0,32,32,Thanks,MyPage,2024-03-20 16:44:10.973341,1,,,50.0,1,,50.0,,1,Invest,Keep,3.205,0,SQ,31,0,1,7reoo3kl,,,,,0
101,dji5wkyx,5a0efb83ab721b0001ef8509,0,32,32,Thanks,MyPage,2024-03-20 16:44:11.739151,1,,,150.0,2,,150.0,,1,Invest,Invest,4.154,0,SQ,30,0,1,7reoo3kl,,,,,0
102,kerxo4qf,5bcbd66377740000016a64b0,0,32,32,Thanks,MyPage,2024-03-20 16:44:19.611435,1,,,100.0,2,,100.0,,0,Keep,Keep,5.903,0,SQ,43,0,1,7reoo3kl,,,,,0
