Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63d95708f6869ad9de66b2fb,5f3a99865242340d71f85620,APPROVED,2023-01-31T17:59:36.486000Z,2023-01-31T18:11:36.832000Z,2023-02-01T04:41:20.701000,2023-01-31T18:11:37.156527Z,721,C1MW0K8M,356,43,Male,White,United States,United States,United States,English,No,Full-Time
63d9570921eeb5d50402079c,5c6071a1e1df700001ca8bf1,APPROVED,2023-01-31T17:59:47.180000Z,2023-01-31T18:12:25.972000Z,2023-02-01T04:41:20.805000,2023-01-31T18:12:26.686715Z,759,C1MW0K8M,1324,41,Female,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63d957094cc4de36f1895def,63cc62e53735576a651d54a9,APPROVED,2023-01-31T17:59:37.181000Z,2023-01-31T18:27:54.075000Z,2023-02-01T04:41:20.894000,2023-01-31T18:27:54.802142Z,1697,C1MW0K8M,120,56,Female,White,United States,United States,United States,English,No,Full-Time
63d95709c4d24c147e2f0277,612e41fb25de530ea83df0bc,APPROVED,2023-01-31T17:59:40.949000Z,2023-01-31T18:07:28.748000Z,2023-02-01T04:41:21.002000,2023-01-31T18:07:29.892222Z,468,C1MW0K8M,915,24,Female,White,United States,United States,United States,English,Yes,Full-Time
63d95709cdcbfac32165e4ce,5ce9c6df6b2b3d001a94b24f,APPROVED,2023-01-31T18:00:38.658000Z,2023-01-31T18:28:53.626000Z,2023-02-01T04:41:21.093000,2023-01-31T18:28:54.068855Z,1695,C1MW0K8M,4452,48,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63d9570a4a341dd9679a2949,5e7a2ccd69a7770604dfb352,APPROVED,2023-01-31T17:59:46.714000Z,2023-01-31T18:21:50.016000Z,2023-02-01T04:41:21.185000,2023-01-31T18:21:50.345443Z,1324,C1MW0K8M,3414,49,Female,White,United States,United States,United States,English,No,Part-Time
63d9570a5628ed16f9f319db,607f1e19b195cdd04a669958,APPROVED,2023-01-31T17:59:42.438000Z,2023-01-31T18:14:19.561000Z,2023-02-01T04:41:21.280000,2023-01-31T18:14:19.867386Z,878,C1MW0K8M,393,20,Female,Mixed,United States,United States,United States,English,Yes,Due to start a new job within the next month
63d9570a5e20cf8a5f99a8f1,5b06c34ed424fd0001eebda1,APPROVED,2023-01-31T18:02:02.629000Z,2023-01-31T18:17:47.956000Z,2023-02-01T04:41:21.367000,2023-01-31T18:17:48.590228Z,946,C1MW0K8M,568,36,Male,White,Hungary,United States,United States,English,No,Full-Time
63d9570a9ab903df1cdc974d,63b7005d59a418f740ecfa0d,APPROVED,2023-01-31T18:02:59.424000Z,2023-01-31T18:23:42.919000Z,2023-02-01T04:41:21.460000,2023-01-31T18:23:43.990623Z,1244,C1MW0K8M,173,37,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63d9570b0e9745ddc019ee2f,6318c6b8dd3d07c0fb9f0d18,APPROVED,2023-01-31T17:59:39.405000Z,2023-01-31T18:13:34.350000Z,2023-02-01T04:41:21.555000,2023-01-31T18:13:34.855304Z,835,C1MW0K8M,774,43,Male,White,United States,United States,United States,English,No,Part-Time
